Release,Released,Active support,Security Support,Latest
3.13,"10 months ago
(07 Oct 2024)","Ends in 1 year and 1 month
(01 Oct 2026)","Ends in 4 years
(31 Oct 2029)","3.13.6
(06 Aug 2025)"
3.12,"1 year and 10 months ago
(02 Oct 2023)","Ended 4 months and 2 weeks ago
(02 Apr 2025)","Ends in 3 years
(31 Oct 2028)","3.12.11
(03 Jun 2025)"
3.11,"2 years and 9 months ago
(24 Oct 2022)","Ended 1 year and 4 months ago
(01 Apr 2024)","Ends in 2 years
(31 Oct 2027)","3.11.13
(03 Jun 2025)"
3.1,"3 years and 10 months ago
(04 Oct 2021)","Ended 2 years and 4 months ago
(05 Apr 2023)","Ends in 1 year and 2 months
(31 Oct 2026)","3.10.18
(03 Jun 2025)"
3.9,"4 years and 10 months ago
(05 Oct 2020)","Ended 3 years ago
(17 May 2022)","Ends in 2 months and 2 weeks
(31 Oct 2025)","3.9.23
(03 Jun 2025)"
3.8,"5 years and 10 months ago
(14 Oct 2019)","Ended 4 years ago
(03 May 2021)","Ended 10 months ago
(07 Oct 2024)","3.8.20
(06 Sep 2024)"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Show more unmaintained releases,,,,
