Software Name,Version,EOL Date,Release Date
Prisma Access Browser,Version,End-of-Life Date,Release Date
Prisma Access Browser,139.12.x.x,11-11-2025,13-08-2025
Prisma Access Browser,139.7.x.x,05-11-2025,07-08-2025
Prisma Access Browser,138.69.x.x,28-10-2025,30-07-2025
Prisma Access Browser,138.64.x.x,21-10-2025,23-07-2025
Prisma Access Browser,138.53.x.x,14-10-2025,16-07-2025
Prisma Access Browser,138.47.x.x,07-10-2025,09-07-2025
Prisma Access Browser,138.40.x.x,29-09-2025,01-07-2025
Prisma Access Browser,138.33.x.x,23-09-2025,25-06-2025
Prisma Access Browser,137.27.x.x,16-09-2025,18-06-2025
Prisma Access Browser,137.20.x.x,09-09-2025,11-06-2025
Prisma Access Browser,137.16.x.x,01-09-2025,03-06-2025
Prisma Access Browser,137.8.x.x,26-08-2025,28-05-2025
Prisma Access Browser,136.33.x.x,19-08-2025,21-05-2025
Prisma Access Browser,136.24.x.x,12-08-2025,14-05-2025
Prisma Access Browser,136.17.x.x,05-08-2025,07-05-2025
Prisma Access Browser,136.11.x.x,29-07-2025,30-04-2025
Prisma Access Browser,135.27.x.x,22-07-2025,23-04-2025
Prisma Access Browser,135.16.x.x,08-07-2025,09-04-2025
Prisma Access Browser,135.10.x.x,01-07-2025,02-04-2025
Prisma Access Browser,134.29.x.x,24-06-2025,26-03-2025
Prisma Access Browser,134.20.x.x,18-06-2025,20-03-2025
Prisma Access Browser,134.17.x.x,09-06-2025,11-03-2025
Prisma Access Browser,134.7.x.x,03-06-2025,05-03-2025
Prisma Access Browser,133.36.x.x,27-05-2025,26-02-2025
Prisma Access Browser,133.27.x.x,20-05-2025,19-02-2025
Prisma Access Browser,133.16.x.x,14-05-2025,13-02-2025
Prisma Access Browser,133.8.x.x,06-05-2025,05-02-2025
Prisma Access Browser,132.x.3025.x,29-04-2025,29-01-2025
Prisma Access Browser,132.x.3017.x,22-04-2025,22-01-2025
Prisma Access Browser,132.x.3010.x,15-04-2025,15-01-2025
Prisma Access Browser,131.x.2999.x,08-04-2025,08-01-2025
Prisma Access Browser,131.x.2995.x,01-04-2025,01-01-2025
Prisma Access Browser,131.x.2986.x,26-03-2025,26-12-2024
Prisma Access Browser,131.x.2976.x,19-03-2025,19-12-2024
Prisma Access Browser,131.x.2968.x,11-03-2025,11-12-2024
Prisma Access Browser,131.x.2963.x,04-03-2025,04-12-2024
Prisma Access Browser,131.x.2955.x,26-02-2025,28-11-2024
Prisma Access Browser,131.x.2948.x,18-02-2025,20-11-2024
Prisma Access Browser,131.x.2943.x,12-02-2025,14-11-2024
Prisma Access Browser,130.x.2936.x,04-02-2025,06-11-2024
Prisma Access Browser,130.x.2931.x,28-01-2025,30-10-2024
Prisma Access Browser,130.x2926.x,21-01-2025,23-10-2024
Prisma Access Browser,130.x2920.x,14-01-2025,16-10-2024
Prisma Access Browser,129.x2913.x,07-01-2025,09-10-2024
Prisma Access Browser,129.x2910.x,31-12-2024,02-10-2024
Prisma Access Browser,129.x2903.x,24-12-2024,25-09-2024
Prisma Access Browser,129.x2896.x,17-12-2024,18-09-2024
Prisma Access Browser,128.x.2888.x,10-12-2024,11-09-2024
Prisma Access Browser,128.x.2884.x,02-12-2024,03-09-2024
Prisma Access Browser,128.x.2877.x,27-11-2024,28-08-2024
Prisma Access Browser,128.x.2869.x,19-11-2024,21-08-2024
Prisma Access Browser,127.x.2863.x,12-11-2024,14-08-2024
Prisma Access Browser,127.x.2858.x,05-11-2024,07-08-2024
Prisma Access Browser,127.x.2853.x,29-10-2024,31-07-2024
Prisma Access Browser,127.x.2849.x,22-10-2024,24-07-2024
Prisma Access Browser,126.x.2844.x,15-10-2024,17-07-2024
Prisma Access Browser,126.x.2842.x,08-10-2024,10-07-2024
Prisma Access Browser,126.x.2834.x,02-10-2024,04-07-2024
Prisma Access Browser,126.x.2826.x,23-09-2024,25-06-2024
Prisma Access Browser,126.x.2819.x,17-09-2024,19-06-2024
Prisma Access Browser,126.x.2811.x,10-09-2024,12-06-2024
Prisma Access Browser,125.x.2804.x,29-08-2024,31-05-2024
